x, T_15,  T_30, T_60, T_90, T_150, T_210
0.001176, 41.8413, 49.217, 55.2106, 56.9053, 57.5199, 57.569
0.00118, 41.8383, 49.2141, 55.2077, 56.9023, 57.517, 57.5661
0.001184, 41.8354, 49.2112, 55.2047, 56.8994, 57.514, 57.5632
0.001188, 41.8325, 49.2082, 55.2018, 56.8965, 57.5111, 57.5602
0.001192, 41.8295, 49.2053, 55.1989, 56.8935, 57.5082, 57.5573
0.001196, 41.8266, 49.2024, 55.196, 56.8906, 57.5052, 57.5544
0.0012, 41.8237, 49.1994, 55.193, 56.8877, 57.5023, 57.5514
0.001204, 41.8207, 49.1965, 55.1901, 56.8847, 57.4994, 57.5485
0.001208, 41.8178, 49.1936, 55.1872, 56.8818, 57.4965, 57.5456
0.001212, 41.8149, 49.1907, 55.1842, 56.8789, 57.4935, 57.5427
0.001216, 41.812, 49.1877, 55.1813, 56.876, 57.4906, 57.5397
0.00122, 41.809, 49.1848, 55.1784, 56.873, 57.4877, 57.5368
0.001224, 41.8061, 49.1819, 55.1755, 56.8701, 57.4847, 57.5339
0.001228, 41.8032, 49.179, 55.1725, 56.8672, 57.4818, 57.531
0.001232, 41.8003, 49.176, 55.1696, 56.8643, 57.4789, 57.528
0.001236, 41.7973, 49.1731, 55.1667, 56.8613, 57.476, 57.5251
0.00124, 41.7944, 49.1702, 55.1638, 56.8584, 57.473, 57.5222
0.001244, 41.7915, 49.1673, 55.1608, 56.8555, 57.4701, 57.5193
0.001248, 41.7886, 49.1643, 55.1579, 56.8526, 57.4672, 57.5163
0.001252, 41.7856, 49.1614, 55.155, 56.8496, 57.4643, 57.5134
0.001256, 41.7827, 49.1585, 55.1521, 56.8467, 57.4613, 57.5105
0.00126, 41.7798, 49.1556, 55.1491, 56.8438, 57.4584, 57.5076
0.001264, 41.7769, 49.1526, 55.1462, 56.8409, 57.4555, 57.5046
0.001268, 41.7739, 49.1497, 55.1433, 56.8379, 57.4526, 57.5017
0.001272, 41.771, 49.1468, 55.1404, 56.835, 57.4497, 57.4988
0.001276, 41.7681, 49.1439, 55.1374, 56.8321, 57.4467, 57.4959
0.00128, 41.7652, 49.1409, 55.1345, 56.8292, 57.4438, 57.4929
0.001284, 41.7623, 49.138, 55.1316, 56.8263, 57.4409, 57.49
0.001288, 41.7593, 49.1351, 55.1287, 56.8233, 57.438, 57.4871
0.001292, 41.7564, 49.1322, 55.1258, 56.8204, 57.4351, 57.4842
0.001296, 41.7535, 49.1293, 55.1228, 56.8175, 57.4321, 57.4813
0.0013, 41.7506, 49.1263, 55.1199, 56.8146, 57.4292, 57.4784
0.001304, 41.7477, 49.1234, 55.117, 56.8117, 57.4263, 57.4754
0.001308, 41.7448, 49.1205, 55.1141, 56.8087, 57.4234, 57.4725
